,timestamp,UAL,DAL,AAL,LUV,ALGT,ULCC,AC,SKYW,SNCY,ALK,JBLU,ATSG,EXPE,BKNG,TRIP,JETS
0,2024-01-02 15:30:00+00:00,-0.004817198491563923,-0.0010163700063423597,-0.0008118548402138437,0.002092462942892448,-0.0033036126437162583,0.013409995110135187,0.005096271425001131,0.004271039174372326,-0.0006443446254431606,-0.0002578216051554172,-0.0018738196842453814,-0.0005717683826588216,-0.008624852476607936,-0.0023455758330079846,-0.0014147930560456379,0.0
1,2024-01-02 16:30:00+00:00,0.009123650351357648,0.011811750714042946,0.007459988856541644,0.006090107302712422,0.014485641031644736,0.020793976239627865,0.007042253521126751,0.0057993280439836425,0.013539654097227016,0.0059324100985473915,0.013959357119382121,0.0008581977911854555,0.004738359267478343,-0.0009707651810965112,0.004486480478207211,0.007436331103571225
2,2024-01-02 17:30:00+00:00,0.0006993519724771691,0.0006154970538656546,-0.00036657729582578735,0.0,-0.0070184152388478305,0.0018518059014955845,,-0.0007687315350465296,0.0012722330629537648,0.0015384967510516656,-0.011915684350055633,-0.0008574619192603938,-0.002835526943701594,-0.001944956581041768,-0.00023512308451356656,-0.0010590853879680617
3,2024-01-02 18:30:00+00:00,-0.007755157012097724,-0.0052720298001935895,-0.008800871547100964,-0.005707333415758575,-0.0054837553208659795,-0.012014798346353328,,-0.0028851994813655635,-0.0006353385658991462,-0.004096258110259932,-0.00927638499744643,-0.02345536945933213,-0.00477861559508197,0.000702241626794109,-0.016223810169608277,-0.006334389618228409
4,2024-01-02 19:30:00+00:00,-0.00955712646735607,-0.006283041990150728,-0.0062671537003303746,-0.008175355835468134,-0.008209755715408384,-0.009354483790524615,,-0.005979964744956545,-0.014621713218666121,-0.011953730960101439,-0.010299682322879145,-0.0328060618602225,-0.00020287266036023155,-0.003314931141027433,-0.00047802241134631274,-0.007160289922595098
5,2024-01-02 20:30:00+00:00,-0.001341421274193011,0.002789467690376357,0.0014668362365428678,-0.001052286440009098,0.0033357627245176324,0.00472145325915263,-0.020979020979020935,0.002716852182513163,0.005161285400390625,-0.0024717371486590034,-0.0009460052503517113,-0.0006057073739067498,0.006290638241391422,0.0018141644589821926,0.0076518339827684745,0.0018711492945664432
6,2024-01-03 14:30:00+00:00,-0.020748862803342205,-0.03616248963969093,-0.03841634187969711,-0.031074446738293182,-0.03940397714958266,-0.04135343231767319,,-0.018385852175492268,-0.04236199298100596,-0.034428786895430386,-0.05113635799198457,-0.016969738584576177,-0.010418787438623012,-0.012125627649827497,-0.017085933344365256,-0.026947660989030453
7,2024-01-03 15:30:00+00:00,-0.0023821769849219354,-0.00115439121276939,0.005853092877007748,0.004529806237012934,-0.002435616410757735,-0.002941150346291277,-0.0014285496303013678,-0.007097803661026303,-0.0020107059529347326,-0.0008103397873022722,0.0,0.018495755678742842,-0.005637833339033893,-0.002710341279661299,0.0004828695955536588,-0.0008226650120622958
8,2024-01-03 16:30:00+00:00,-0.00012570235351050396,-0.0008989301702225783,0.0012299019311374781,-0.007395379826264703,-0.013492714673290496,-0.018682451586259474,0.018311856242563707,-0.0015885986911255978,-0.014103427354260956,-0.0027034951143722896,-0.01696607470334255,-0.005447950974214133,-0.0019468793175603238,0.0007352354576950493,-0.0055501821877013136,-0.003841915338213653
9,2024-01-03 17:30:00+00:00,0.004147836113389092,0.003598955890921962,0.005781206823812779,0.0012720279188984662,0.008857631039602243,0.0040081079521152585,,0.0031821768356523616,0.0,0.0010843295253231133,0.01218272902657258,0.010955587451759063,0.003319534749215647,0.0019693420953919016,-0.0004853302161612616,0.0022039072379100855
10,2024-01-03 18:30:00+00:00,-0.0027538017572150686,-0.002049227181827984,0.00035874805083624395,-0.004355678228961324,-0.002775937331983336,-0.013972089513656583,-0.013486921612205327,-0.004559864165312177,-0.010899171940459529,-0.004738674129824538,0.0,-0.01143892396603563,-0.0006139323292101428,-0.0004145760860068126,-0.0021850001356769067,-0.0021935032918277697
11,2024-01-03 19:30:00+00:00,-0.008660660573237888,-0.0052617561903157695,-0.011445984263245279,-0.0036456573225359667,-0.01586066504098549,-0.019736810988412956,-0.0017089539233253737,-0.010655245113867284,-0.01997251421381907,-0.008298198784174926,-0.020060160873469957,-0.016443389555976906,-0.005187675814579795,-0.0032835166653234493,-0.005839364298775962,-0.008269965573336369
12,2024-01-03 20:30:00+00:00,0.0007596550524644474,-0.0006451174091045564,0.0003859602061262457,-0.0010977199681396765,0.0042099682387943815,0.002581271806621377,0.004564903021251121,0.006542541880845798,-0.000920567170172748,-0.0010974187843643124,0.009211790654733987,0.01609908575994745,-0.005214832832297733,-0.005061251019697677,-0.0014684623689362741,0.0005555682712130583
13,2024-01-04 14:30:00+00:00,0.02125506434357516,0.012651734682631144,0.008873439103369574,0.004395635259597075,0.007336532754620206,0.027806333988530163,-0.0002839625615784769,0.024300003051757724,0.0086587288277713,0.009063494436629238,0.03144020592401997,0.007922063944183044,0.007104419986551536,0.007657585380314025,0.021568654033598422,0.014991696520396669
14,2024-01-04 15:30:00+00:00,0.00867191449029181,0.007394112488629867,0.009376715656473245,0.009846843800598748,0.018662993497005287,0.02905820930151659,0.012499960715121272,0.012789198034665494,0.029986073960967197,0.009798496984426919,0.03048175650116125,0.013301046020376184,0.00362988013996568,0.0030813191311684918,0.0019193381902995466,0.01012032051385714
